year,date,stage,unit_id,job_number,issue,raw_file
2010,20100626,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20100627,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20100703,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20100704,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20100710,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20100711,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20100717,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20100718,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20100724,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20100725,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20100731,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20100801,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20100808,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20100814,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20100815,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20100822,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20100828,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20100829,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20100904,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20100905,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20100911,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20100912,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20100918,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20100919,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20100922,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20100925,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20100926,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20101002,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20101003,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20101010,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20101016,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20101017,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20101023,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20101024,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20101030,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20101031,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20101106,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20101107,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20101114,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20101121,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20101128,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20101204,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20101205,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20101212,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20101219,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2010,20101226,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230412,normalize,3.76.55,TE1120001053,缺少可解析的決標金額,data/raw/hualien/2023/tenders/20230412_3.76.55_TE1120001053.json
2023,20230412,normalize,3.76.55,TE1120001148,缺少可解析的決標金額,data/raw/hualien/2023/tenders/20230412_3.76.55_TE1120001148.json
2023,20230711,normalize,3.76.55,AB1120001660,缺少可解析的決標金額,data/raw/hualien/2023/tenders/20230711_3.76.55_AB1120001660.json
2023,20230101,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230102,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230108,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230114,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230115,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230120,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230121,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230122,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230123,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230124,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230125,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230126,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230127,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230128,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230129,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230205,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230211,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230212,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230219,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230225,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230226,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230227,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230228,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230304,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230305,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230311,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230312,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230318,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230319,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230326,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230401,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230402,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230403,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230404,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230405,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230408,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230409,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230415,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230416,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230422,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230423,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230429,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230430,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230506,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230507,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230513,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230514,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230520,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230521,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230527,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230528,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230603,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230604,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230610,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230611,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230618,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230622,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230623,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230624,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230625,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230701,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230702,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230708,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230709,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230715,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230716,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230722,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230723,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230729,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230730,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230805,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230806,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230812,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230813,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230819,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230820,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230826,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230827,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230902,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230903,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230909,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230910,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230916,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230917,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230924,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230929,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20230930,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20231001,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20231007,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20231008,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20231009,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20231010,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20231014,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20231021,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20231022,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20231028,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20231029,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20231104,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20231105,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20231111,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20231112,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20231118,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20231119,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20231125,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20231126,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20231202,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20231203,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20231209,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20231210,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20231216,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20231217,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20231223,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20231224,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20231230,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2023,20231231,daily,,,非 JSON 回應：text/html; charset=UTF-8,
